ablation_id,feature_set,input_dim,seed,status,best_epochs,epochs_trained,acc_mean,acc_sd,auc_mean,auc_sd,balanced_acc_mean,balanced_acc_sd,sen_mean,sen_sd,spec_mean,spec_sd,f1_mean,f1_sd,pre_mean,pre_sd
A1_freq20,base45_freq20,63,13,ok,"[26, 36, 6, 26]","[57, 67, 37, 57]",0.85,0.05400617248673217,0.9492219065656565,0.03492575919185823,0.8458648989898991,0.040877821814246026,0.821590909090909,0.1606364322340407,0.870138888888889,0.09442742221327245,0.8395381218657081,0.06646889449966656,0.8801864801864803,0.05676553056290145
A1_freq20,base45_freq20,63,64,ok,"[7, 5, 16, 17]","[38, 36, 47, 48]",0.84375,0.0590726953281576,0.9304750631313132,0.04647030031174898,0.8510416666666667,0.05177387404393254,0.81875,0.12253597605192218,0.8833333333333333,0.11303883305208778,0.8355672105672105,0.07100484542574269,0.8777511961722487,0.13113103405314744
A1_freq20,base45_freq20,63,2026,ok,"[19, 63, 2, 13]","[50, 94, 33, 44]",0.7999999999999999,0.035355339059327355,0.9150599747474748,0.07109348729107642,0.7989425505050505,0.028787480753273486,0.7610795454545456,0.16908636510267872,0.8368055555555556,0.11805555555555557,0.7824677766464572,0.06875088763181932,0.8430049482681061,0.11616612414570801
A2_k,base45_k,46,1234,ok,"[29, 9, 7, 28]","[60, 40, 38, 59]",0.8187500000000001,0.05543389456520862,0.9272585227272727,0.039480841450819606,0.8191445707070706,0.058544558667034965,0.7730113636363636,0.12510455338179943,0.8652777777777778,0.053359368645273714,0.8033592044627698,0.08018643799961613,0.8461174242424243,0.0844452760594714
A2_k,base45_k,46,100,ok,"[6, 31, 24, 24]","[37, 62, 55, 55]",0.825,0.08897565210026095,0.9437657828282828,0.044799318293493894,0.831076388888889,0.08512836221749946,0.790625,0.0743913260202582,0.8715277777777778,0.12898733070143545,0.8172974804072365,0.09589211440428319,0.8576754385964912,0.1549437938581453
A2_k,base45_k,46,0,ok,"[8, 35, 4, 37]","[39, 66, 35, 68]",0.825,0.06123724356957945,0.9292897727272726,0.03299362721065738,0.8117108585858586,0.09009935483514868,0.7039772727272728,0.22159867896245755,0.9194444444444445,0.07049209744694176,0.7762055018152578,0.15691345231668186,0.9230263157894737,0.06493746547948537
A2_k,base45_k,46,2024,ok,"[35, 5, 46, 36]","[66, 36, 77, 67]",0.8375,0.11086778913041725,0.9308838383838384,0.06421134738459874,0.8418402777777778,0.10433507678725173,0.815625,0.16051949228545814,0.8680555555555556,0.10485881160098262,0.8272019272019273,0.12658933251163845,0.8551106025934402,0.12979760149088787
A2_k,base45_k,46,42,ok,"[5, 2, 32, 9]","[36, 33, 63, 40]",0.825,0.08897565210026095,0.9358278093434343,0.05650257288754976,0.8106218434343434,0.11928578086743553,0.7372159090909091,0.3160907682846271,0.8840277777777779,0.11153564729396584,0.7670160489309426,0.21273530157770668,0.8766666666666667,0.0822822603625494
A2_k,base45_k,46,3,ok,"[34, 12, 17, 2]","[65, 43, 48, 33]",0.7499999999999999,0.1767766952966369,0.9199794823232323,0.061325515243712124,0.7689709595959597,0.15641489615460943,0.6948863636363637,0.3762416313375158,0.8430555555555556,0.18021335092565102,0.6809930313588851,0.3089230406198913,0.8470238095238095,0.18172740252482633
A2_k,base45_k,46,123,ok,"[2, 7, 47, 47]","[33, 38, 78, 78]",0.84375,0.05543389456520863,0.94908538510101,0.025526659447106647,0.8531407828282829,0.048044391411802674,0.8014204545454546,0.17359574082558119,0.9048611111111111,0.08661367682038257,0.832360958694748,0.06655412939026277,0.900149190110827,0.0848586965490492
