experiment,kind,seed,fold,auc,acc,sen,spec,f1,balanced_acc,best_epoch,epochs_trained,stopping_reason,stage
EXP-PROP-004,proposal,3,Set_1,0.8541666666666667,0.775,0.875,0.7083333333333334,0.7567567567567567,0.7916666666666667,31.0,62.0,early_stopping,
EXP-PROP-004,proposal,3,Set_2,0.9775,0.9,0.9,0.9,0.9,0.9,27.0,58.0,early_stopping,
EXP-PROP-004,proposal,3,Set_3,0.8409090909090909,0.775,0.7272727272727273,0.8333333333333334,0.7804878048780488,0.7803030303030303,74.0,105.0,early_stopping,
EXP-PROP-004,proposal,123,Set_0,0.9772727272727273,0.925,0.9090909090909091,0.9444444444444444,0.9302325581395349,0.9267676767676767,114.0,145.0,early_stopping,
EXP-PROP-004,proposal,123,Set_1,0.859375,0.725,0.6875,0.75,0.6666666666666667,0.71875,81.0,112.0,early_stopping,
EXP-PROP-004,proposal,123,Set_2,0.9625,0.85,0.95,0.75,0.8636363636363635,0.85,22.0,53.0,early_stopping,
EXP-PROP-004,proposal,123,Set_3,0.8535353535353536,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526,40.0,71.0,early_stopping,
EXP-PROP-004,proposal,13,Set_0,0.9696969696969697,0.9,0.9090909090909091,0.8888888888888888,0.9090909090909091,0.898989898989899,73.0,104.0,early_stopping,
EXP-PROP-004,proposal,13,Set_1,0.8437500000000001,0.625,0.9375,0.4166666666666667,0.6666666666666667,0.6770833333333334,1.0,32.0,early_stopping,
EXP-PROP-004,proposal,13,Set_2,0.9625,0.85,0.9,0.8,0.8571428571428572,0.8500000000000001,19.0,50.0,early_stopping,
EXP-PROP-004,proposal,13,Set_3,0.8535353535353536,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526,27.0,58.0,early_stopping,
EXP-PROP-004,proposal,64,Set_0,0.9747474747474748,0.9,0.9090909090909091,0.8888888888888888,0.9090909090909091,0.898989898989899,98.0,129.0,early_stopping,
EXP-PROP-004,proposal,64,Set_1,0.8567708333333334,0.725,0.75,0.7083333333333334,0.6857142857142857,0.7291666666666667,42.0,73.0,early_stopping,
EXP-PROP-004,proposal,64,Set_2,0.9625,0.8,0.9,0.7,0.8181818181818182,0.8,35.0,66.0,early_stopping,
EXP-PROP-004,proposal,64,Set_3,0.8383838383838385,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.8080808080808081,70.0,101.0,early_stopping,
EXP-PROP-004,proposal,2026,Set_0,0.9696969696969697,0.875,0.8181818181818182,0.9444444444444444,0.8780487804878049,0.8813131313131313,128.0,150.0,max_epochs,
EXP-PROP-004,proposal,2026,Set_1,0.8489583333333333,0.75,0.75,0.75,0.7058823529411765,0.75,54.0,85.0,early_stopping,
EXP-PROP-004,proposal,2026,Set_2,0.9675,0.85,0.9,0.8,0.8571428571428572,0.8500000000000001,37.0,68.0,early_stopping,
EXP-PROP-004,proposal,2026,Set_3,0.845959595959596,0.7,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.7070707070707071,11.0,42.0,early_stopping,
EXP-PROP-005,proposal,1234,Set_0,0.9595959595959596,0.875,0.8181818181818182,0.9444444444444444,0.8780487804878049,0.8813131313131313,16.0,47.0,early_stopping,
EXP-PROP-005,proposal,1234,Set_1,0.921875,0.825,0.8125,0.8333333333333334,0.787878787878788,0.8229166666666667,16.0,47.0,early_stopping,
EXP-PROP-005,proposal,1234,Set_2,1.0,0.9,1.0,0.8,0.9090909090909091,0.9,24.0,55.0,early_stopping,
EXP-PROP-005,proposal,1234,Set_3,0.9166666666666667,0.75,0.5454545454545454,1.0,0.7058823529411764,0.7727272727272727,68.0,99.0,early_stopping,
EXP-PROP-005,proposal,100,Set_0,0.946969696969697,0.825,0.8636363636363636,0.7777777777777778,0.8444444444444444,0.8207070707070707,45.0,76.0,early_stopping,
EXP-PROP-005,proposal,100,Set_1,0.9166666666666667,0.8,0.625,0.9166666666666666,0.7142857142857143,0.7708333333333333,29.0,60.0,early_stopping,
EXP-PROP-005,proposal,100,Set_2,0.9875,0.95,1.0,0.9,0.9523809523809523,0.95,36.0,67.0,early_stopping,
EXP-PROP-005,proposal,100,Set_3,0.9393939393939394,0.775,0.6363636363636364,0.9444444444444444,0.7567567567567568,0.7904040404040404,12.0,43.0,early_stopping,
EXP-PROP-005,proposal,0,Set_0,0.936868686868687,0.85,0.8636363636363636,0.8333333333333334,0.8636363636363636,0.8484848484848485,8.0,39.0,early_stopping,
EXP-PROP-005,proposal,0,Set_1,0.8541666666666667,0.75,0.6875,0.7916666666666666,0.6875,0.7395833333333333,8.0,39.0,early_stopping,
EXP-PROP-005,proposal,0,Set_2,0.98,0.675,0.35,1.0,0.5185185185185185,0.675,1.0,32.0,early_stopping,
EXP-PROP-005,proposal,0,Set_3,0.9545454545454546,0.85,0.9090909090909091,0.7777777777777778,0.8695652173913043,0.8434343434343434,55.0,86.0,early_stopping,
EXP-PROP-005,proposal,2024,Set_0,1.0,0.95,0.9090909090909091,1.0,0.9523809523809523,0.9545454545454546,76.0,107.0,early_stopping,
EXP-PROP-005,proposal,2024,Set_1,0.8645833333333334,0.75,0.8125,0.7083333333333334,0.7222222222222223,0.7604166666666667,34.0,65.0,early_stopping,
EXP-PROP-005,proposal,2024,Set_2,0.965,0.925,0.85,1.0,0.9189189189189189,0.925,1.0,32.0,early_stopping,
EXP-PROP-005,proposal,2024,Set_3,0.9570707070707072,0.8,0.6363636363636364,1.0,0.7777777777777778,0.8181818181818181,28.0,59.0,early_stopping,
