experiment,kind,seed,fold,auc,acc,sen,spec,f1,balanced_acc
EXP-PROP-003,proposal,2024,Set_1,0.8359375,0.725,0.9375,0.5833333333333334,0.7317073170731707,0.7604166666666667
EXP-PROP-003,proposal,2024,Set_2,0.9624999999999999,0.875,0.9,0.85,0.8780487804878048,0.875
EXP-PROP-003,proposal,2024,Set_3,0.7323232323232323,0.7,0.5909090909090909,0.8333333333333334,0.6842105263157896,0.7121212121212122
EXP-PROP-003,proposal,42,Set_0,0.861111111111111,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-003,proposal,42,Set_1,0.8828125,0.725,0.875,0.625,0.717948717948718,0.75
EXP-PROP-003,proposal,42,Set_2,0.8925000000000001,0.775,0.6,0.95,0.7272727272727274,0.7749999999999999
EXP-PROP-003,proposal,42,Set_3,0.8560606060606062,0.775,0.7272727272727273,0.8333333333333334,0.7804878048780488,0.7803030303030303
EXP-PROP-003,proposal,3,Set_0,0.9217171717171717,0.825,0.9545454545454546,0.6666666666666666,0.8571428571428572,0.8106060606060606
EXP-PROP-003,proposal,3,Set_1,0.8359375,0.75,0.5,0.9166666666666666,0.6153846153846154,0.7083333333333333
EXP-PROP-003,proposal,3,Set_2,0.95,0.775,1.0,0.55,0.8163265306122449,0.775
EXP-PROP-003,proposal,3,Set_3,0.8333333333333334,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-003,proposal,123,Set_0,0.8964646464646465,0.775,0.5909090909090909,1.0,0.7428571428571429,0.7954545454545454
EXP-PROP-003,proposal,123,Set_1,0.8567708333333334,0.725,0.625,0.7916666666666666,0.6451612903225806,0.7083333333333333
EXP-PROP-003,proposal,123,Set_2,0.895,0.825,0.85,0.8,0.8292682926829269,0.825
EXP-PROP-003,proposal,123,Set_3,0.8156565656565656,0.65,0.8181818181818182,0.4444444444444444,0.7200000000000001,0.6313131313131313
EXP-PROP-003,proposal,13,Set_0,0.8308080808080809,0.75,0.8636363636363636,0.6111111111111112,0.7916666666666666,0.7373737373737375
EXP-PROP-003,proposal,13,Set_1,0.8489583333333334,0.75,0.8125,0.7083333333333334,0.7222222222222223,0.7604166666666667
EXP-PROP-003,proposal,13,Set_2,0.9175,0.775,0.9,0.65,0.7999999999999999,0.775
EXP-PROP-003,proposal,13,Set_3,0.7803030303030303,0.725,0.5909090909090909,0.8888888888888888,0.7027027027027029,0.7398989898989898
EXP-PROP-003,proposal,64,Set_0,0.9267676767676768,0.825,0.8636363636363636,0.7777777777777778,0.8444444444444444,0.8207070707070707
EXP-PROP-003,proposal,64,Set_1,0.7916666666666666,0.65,0.875,0.5,0.6666666666666667,0.6875
EXP-PROP-003,proposal,64,Set_2,0.845,0.725,0.9,0.55,0.7659574468085106,0.7250000000000001
EXP-PROP-003,proposal,64,Set_3,0.813131313131313,0.75,0.8181818181818182,0.6666666666666666,0.7826086956521738,0.7424242424242424
EXP-PROP-003,proposal,2026,Set_0,0.9015151515151515,0.825,0.8636363636363636,0.7777777777777778,0.8444444444444444,0.8207070707070707
EXP-PROP-003,proposal,2026,Set_1,0.7265625,0.625,0.75,0.5416666666666666,0.6153846153846153,0.6458333333333333
EXP-PROP-003,proposal,2026,Set_2,0.86,0.8,0.9,0.7,0.8181818181818182,0.8
EXP-PROP-003,proposal,2026,Set_3,0.8383838383838383,0.75,0.6818181818181818,0.8333333333333334,0.7499999999999999,0.7575757575757576
EXP-PROP-004,proposal,1234,Set_0,0.9722222222222223,0.875,0.9090909090909091,0.8333333333333334,0.888888888888889,0.8712121212121212
EXP-PROP-004,proposal,1234,Set_1,0.8177083333333334,0.75,0.8125,0.7083333333333334,0.7222222222222223,0.7604166666666667
EXP-PROP-004,proposal,1234,Set_2,0.905,0.775,0.85,0.7,0.7906976744186046,0.7749999999999999
EXP-PROP-004,proposal,1234,Set_3,0.8333333333333333,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-004,proposal,100,Set_0,0.9595959595959596,0.875,0.9090909090909091,0.8333333333333334,0.888888888888889,0.8712121212121212
EXP-PROP-004,proposal,100,Set_1,0.8333333333333333,0.775,0.8125,0.75,0.742857142857143,0.78125
EXP-PROP-004,proposal,100,Set_2,0.9300000000000002,0.775,0.8,0.75,0.7804878048780488,0.775
EXP-PROP-004,proposal,100,Set_3,0.8282828282828283,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-004,proposal,0,Set_0,0.9595959595959597,0.85,0.7727272727272727,0.9444444444444444,0.85,0.8585858585858586
EXP-PROP-004,proposal,0,Set_1,0.8125,0.75,0.75,0.75,0.7058823529411765,0.75
EXP-PROP-004,proposal,0,Set_2,0.9475,0.8,0.85,0.75,0.8095238095238095,0.8
EXP-PROP-004,proposal,0,Set_3,0.8409090909090909,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-004,proposal,2024,Set_0,0.9671717171717171,0.9,0.9090909090909091,0.8888888888888888,0.9090909090909091,0.898989898989899
EXP-PROP-004,proposal,2024,Set_1,0.8307291666666666,0.725,0.6875,0.75,0.6666666666666667,0.71875
EXP-PROP-004,proposal,2024,Set_2,0.905,0.775,0.85,0.7,0.7906976744186046,0.7749999999999999
EXP-PROP-004,proposal,2024,Set_3,0.8282828282828284,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-004,proposal,42,Set_0,0.9570707070707071,0.875,0.9090909090909091,0.8333333333333334,0.888888888888889,0.8712121212121212
EXP-PROP-004,proposal,42,Set_1,0.7838541666666667,0.7,0.6875,0.7083333333333334,0.6470588235294118,0.6979166666666667
EXP-PROP-004,proposal,42,Set_2,0.915,0.85,0.85,0.85,0.85,0.85
EXP-PROP-004,proposal,42,Set_3,0.8232323232323233,0.725,0.7272727272727273,0.7222222222222222,0.7441860465116279,0.7247474747474747
EXP-PROP-004,proposal,3,Set_0,0.9393939393939394,0.8,0.8181818181818182,0.7777777777777778,0.8181818181818182,0.797979797979798
EXP-PROP-004,proposal,3,Set_1,0.8255208333333334,0.775,0.8125,0.75,0.742857142857143,0.78125
EXP-PROP-004,proposal,3,Set_2,0.9275,0.8,0.8,0.8,0.8000000000000002,0.8
EXP-PROP-004,proposal,3,Set_3,0.835858585858586,0.775,0.7272727272727273,0.8333333333333334,0.7804878048780488,0.7803030303030303
EXP-PROP-004,proposal,123,Set_0,0.9646464646464648,0.9,0.9090909090909091,0.8888888888888888,0.9090909090909091,0.898989898989899
EXP-PROP-004,proposal,123,Set_1,0.7994791666666667,0.7,0.6875,0.7083333333333334,0.6470588235294118,0.6979166666666667
EXP-PROP-004,proposal,123,Set_2,0.9275,0.825,0.85,0.8,0.8292682926829269,0.825
EXP-PROP-004,proposal,123,Set_3,0.835858585858586,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-004,proposal,13,Set_0,0.9595959595959596,0.9,0.9090909090909091,0.8888888888888888,0.9090909090909091,0.898989898989899
EXP-PROP-004,proposal,13,Set_1,0.7890625,0.7,0.6875,0.7083333333333334,0.6470588235294118,0.6979166666666667
EXP-PROP-004,proposal,13,Set_2,0.905,0.775,0.85,0.7,0.7906976744186046,0.7749999999999999
EXP-PROP-004,proposal,13,Set_3,0.8383838383838385,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-004,proposal,64,Set_0,0.9696969696969697,0.925,0.9545454545454546,0.8888888888888888,0.9333333333333332,0.9217171717171717
EXP-PROP-004,proposal,64,Set_1,0.8307291666666666,0.675,0.5625,0.75,0.5806451612903225,0.65625
EXP-PROP-004,proposal,64,Set_2,0.915,0.85,0.95,0.75,0.8636363636363635,0.85
EXP-PROP-004,proposal,64,Set_3,0.8257575757575757,0.775,0.7272727272727273,0.8333333333333334,0.7804878048780488,0.7803030303030303
EXP-PROP-004,proposal,2026,Set_0,0.9520202020202021,0.925,0.9545454545454546,0.8888888888888888,0.9333333333333332,0.9217171717171717
EXP-PROP-004,proposal,2026,Set_1,0.8020833333333333,0.725,0.6875,0.75,0.6666666666666667,0.71875
EXP-PROP-004,proposal,2026,Set_2,0.935,0.825,0.85,0.8,0.8292682926829269,0.825
EXP-PROP-004,proposal,2026,Set_3,0.8181818181818181,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-005,proposal,1234,Set_0,0.9292929292929293,0.825,0.8636363636363636,0.7777777777777778,0.8444444444444444,0.8207070707070707
EXP-PROP-005,proposal,1234,Set_1,0.8255208333333334,0.75,0.625,0.8333333333333334,0.6666666666666666,0.7291666666666667
EXP-PROP-005,proposal,1234,Set_2,0.9924999999999999,0.9,1.0,0.8,0.9090909090909091,0.9
EXP-PROP-005,proposal,1234,Set_3,0.8358585858585859,0.775,0.7727272727272727,0.7777777777777778,0.7906976744186046,0.7752525252525253
EXP-PROP-005,proposal,100,Set_0,0.9217171717171717,0.8,0.9090909090909091,0.6666666666666666,0.8333333333333333,0.7878787878787878
EXP-PROP-005,proposal,100,Set_1,0.8072916666666666,0.775,0.75,0.7916666666666666,0.7272727272727272,0.7708333333333333
EXP-PROP-005,proposal,100,Set_2,0.9625,0.85,0.9,0.8,0.8571428571428572,0.8500000000000001
EXP-PROP-005,proposal,100,Set_3,0.8636363636363636,0.7,0.5,0.9444444444444444,0.6470588235294118,0.7222222222222222
EXP-PROP-005,proposal,0,Set_0,0.9090909090909091,0.8,0.9090909090909091,0.6666666666666666,0.8333333333333333,0.7878787878787878
EXP-PROP-005,proposal,0,Set_1,0.7291666666666667,0.575,0.6875,0.5,0.5641025641025642,0.59375
EXP-PROP-005,proposal,0,Set_2,0.9775,0.9,0.95,0.85,0.9047619047619048,0.8999999999999999
EXP-PROP-005,proposal,0,Set_3,0.9343434343434344,0.8,0.8181818181818182,0.7777777777777778,0.8181818181818182,0.797979797979798
EXP-PROP-005,proposal,2024,Set_0,0.9393939393939394,0.825,0.8181818181818182,0.8333333333333334,0.8372093023255814,0.8257575757575758
EXP-PROP-005,proposal,2024,Set_1,0.8385416666666666,0.75,0.625,0.8333333333333334,0.6666666666666666,0.7291666666666667
EXP-PROP-005,proposal,2024,Set_2,0.9425,0.95,0.9,1.0,0.9473684210526316,0.95
EXP-PROP-005,proposal,2024,Set_3,0.9318181818181819,0.775,0.7727272727272727,0.7777777777777778,0.7906976744186046,0.7752525252525253
EXP-PROP-005,proposal,42,Set_0,0.9166666666666667,0.8,0.9545454545454546,0.6111111111111112,0.84,0.7828282828282829
EXP-PROP-005,proposal,42,Set_1,0.8177083333333333,0.725,0.75,0.7083333333333334,0.6857142857142857,0.7291666666666667
EXP-PROP-005,proposal,42,Set_2,0.9475,0.825,0.9,0.75,0.8372093023255814,0.825
EXP-PROP-005,proposal,42,Set_3,0.8282828282828283,0.75,0.8181818181818182,0.6666666666666666,0.7826086956521738,0.7424242424242424
EXP-PROP-005,proposal,3,Set_0,0.946969696969697,0.85,0.9545454545454546,0.7222222222222222,0.875,0.8383838383838385
EXP-PROP-005,proposal,3,Set_1,0.75,0.6,0.75,0.5,0.6,0.625
EXP-PROP-005,proposal,3,Set_2,0.935,0.8,0.9,0.7,0.8181818181818182,0.8
EXP-PROP-005,proposal,3,Set_3,0.8813131313131313,0.725,0.7727272727272727,0.6666666666666666,0.7555555555555555,0.7196969696969697
EXP-PROP-005,proposal,123,Set_0,0.8686868686868687,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-005,proposal,123,Set_1,0.765625,0.725,0.625,0.7916666666666666,0.6451612903225806,0.7083333333333333
EXP-PROP-005,proposal,123,Set_2,0.9524999999999999,0.85,0.95,0.75,0.8636363636363635,0.85
EXP-PROP-005,proposal,123,Set_3,0.7601010101010102,0.65,0.7272727272727273,0.5555555555555556,0.6956521739130435,0.6414141414141414
EXP-PROP-005,proposal,13,Set_0,0.9166666666666666,0.775,0.7727272727272727,0.7777777777777778,0.7906976744186046,0.7752525252525253
EXP-PROP-005,proposal,13,Set_1,0.8229166666666667,0.725,0.5625,0.8333333333333334,0.6206896551724138,0.6979166666666667
EXP-PROP-005,proposal,13,Set_2,0.9349999999999999,0.9,0.9,0.9,0.9,0.9
EXP-PROP-005,proposal,13,Set_3,0.840909090909091,0.725,0.7272727272727273,0.7222222222222222,0.7441860465116279,0.7247474747474747
EXP-PROP-005,proposal,64,Set_0,0.8383838383838385,0.7,0.5909090909090909,0.8333333333333334,0.6842105263157896,0.7121212121212122
EXP-PROP-005,proposal,64,Set_1,0.8125,0.75,0.5,0.9166666666666666,0.6153846153846154,0.7083333333333333
EXP-PROP-005,proposal,64,Set_2,0.955,0.825,0.9,0.75,0.8372093023255814,0.825
